stop_id,name,x,y,demand,priority,is_depot
DEPOT-STORE,Store Depot,11.003669,76.976494,0,0,true
rjto796129700,medicamentos_criticos,11.053669,77.026494,2,5,false
vmau710398846,medicamentos_criticos,10.043064,76.347589,2,5,false
zyvo118176215,insumos_medicos,19.266269,72.926721,3,5,false
uhfs888375680,medicamentos_criticos,12.351072,76.694878,2,5,false
vmfv999642595,medicamentos_criticos,18.702718,73.883572,2,5,false
owvs520891091,insumos_medicos,13.115801,80.360744,3,4,false
edrh271340988,medicamentos_criticos,26.879596,75.830512,2,5,false
gzfn634029300,medicamentos_criticos,13.024179,77.705797,2,5,false
itii428784576,medicamentos_criticos,21.210437,72.824209,2,5,false
zotl583816092,medicamentos_criticos,0.11,0.11,2,5,false
mrfx777445506,insumos_medicos,21.183343,72.802731,3,4,false
zqtj827550147,insumos_medicos,12.992532,77.628179,3,5,false
zkat983341391,medicamentos_criticos,13.134181,80.306442,2,5,false
rpuq263118672,medicamentos_criticos,19.201458,72.937808,2,5,false
nvck471535045,medicamentos_criticos,22.559129,88.385507,2,5,false
yakw330215137,medicamentos_criticos,13.024264,77.7884,2,5,false
dcdm719150402,insumos_medicos,0.03,0.03,3,4,false
fris321432357,insumos_medicos,11.083681,77.055525,3,5,false
rxxx129114996,medicamentos_criticos,26.993987,75.832891,2,5,false
qeqp930384577,insumos_medicos,18.59144,73.844855,3,5,false
ivtf765857546,medicamentos_criticos,30.422202,78.127151,2,5,false
emlt327861941,medicamentos_criticos,0.02,0.02,2,5,false
gkrb550339468,insumos_medicos,13.062793,80.339982,3,5,false
xczs106918282,insumos_medicos,21.226438,72.834115,3,5,false
wnbv620439671,insumos_medicos,13.154181,80.326442,3,5,false
jzam829230168,insumos_medicos,26.933483,75.823139,3,5,false
xnod694467359,insumos_medicos,17.471028,78.389645,3,5,false
hcno407153953,insumos_medicos,18.566216,73.892527,3,5,false
wkqq813752515,insumos_medicos,19.956428,75.444792,3,5,false
pngq326709686,medicamentos_criticos,17.543809,78.496744,2,5,false
caja224507886,insumos_medicos,23.384878,85.345739,3,5,false
sdod930462581,insumos_medicos,26.981191,75.892083,3,4,false
wddq796276216,insumos_medicos,12.366967,76.653067,3,4,false
mzyt873581742,medicamentos_criticos,12.365461,76.672278,2,5,false
okvp821614347,medicamentos_criticos,17.488998,78.530366,2,5,false
drir663128253,medicamentos_criticos,11.130762,77.111876,2,5,false
drdr957134932,insumos_medicos,21.283343,72.902731,3,4,false
